idmateriacurso,fk_iddocente_materiacurso,fk_idcurso_materiacurso,fk_idmateria_materiacurso,createdAt,updatedAt,turno_materiacurso,estado_materiacurso
1,NULL,1,1,2021-12-28,,mañana,1
2,NULL,2,1,2022-10-12,,mañana,1
3,NULL,3,1,2021-03-25,,mañana,1
4,NULL,4,1,2021-11-13,,mañana,1
5,NULL,5,1,2021-10-13,,siesta,1
6,NULL,6,1,2023-11-11,,siesta,1
7,NULL,7,1,2020-01-03,,siesta,1
8,NULL,8,1,2022-07-26,,siesta,1
9,NULL,9,1,2020-05-31,,tarde,1
10,NULL,10,1,2023-08-18,,tarde,1
11,NULL,11,1,2023-01-10,,tarde,1
12,NULL,12,1,2020-03-15,,tarde,1
13,NULL,13,1,2021-12-23,,noche,1
14,NULL,14,1,2020-06-18,,noche,1
15,NULL,15,1,2021-07-13,,noche,1
16,NULL,16,1,2021-07-16,,noche,1
17,NULL,1,2,2020-09-01,,mañana,1
18,NULL,2,2,2020-01-08,,mañana,1
19,NULL,3,2,2021-09-07,,mañana,1
20,NULL,4,2,2021-11-24,,mañana,1
21,NULL,5,2,2020-03-05,,siesta,1
22,NULL,6,2,2021-06-29,,siesta,1
23,NULL,7,2,2022-03-23,,siesta,1
24,NULL,8,2,2021-01-03,,siesta,1
25,NULL,9,2,2020-02-29,,tarde,1
26,NULL,10,2,2021-09-18,,tarde,1
27,NULL,11,2,2020-03-16,,tarde,1
28,NULL,12,2,2022-01-09,,tarde,1
29,NULL,13,2,2021-02-20,,noche,1
30,NULL,14,2,2023-03-08,,noche,1
31,NULL,15,2,2023-09-25,,noche,1
32,NULL,16,2,2023-10-26,,noche,1
33,NULL,1,3,2020-05-19,,mañana,1
34,NULL,2,3,2023-08-30,,mañana,1
35,NULL,3,3,2023-08-05,,mañana,1
36,NULL,4,3,2023-06-03,,mañana,1
37,NULL,5,3,2023-08-11,,siesta,1
38,NULL,6,3,2021-12-21,,siesta,1
39,NULL,7,3,2021-04-25,,siesta,1
40,NULL,8,3,2023-12-10,,siesta,1
41,NULL,9,3,2023-05-17,,tarde,1
42,NULL,10,3,2020-10-17,,tarde,1
43,NULL,11,3,2021-08-11,,tarde,1
44,NULL,12,3,2022-02-24,,tarde,1
45,NULL,13,3,2020-04-10,,noche,1
46,NULL,14,3,2023-10-04,,noche,1
47,NULL,15,3,2021-09-12,,noche,1
48,NULL,16,3,2023-09-08,,noche,1
49,NULL,1,4,2023-01-31,,mañana,1
50,NULL,2,4,2023-10-30,,mañana,1
51,NULL,3,4,2020-02-04,,mañana,1
52,NULL,4,4,2020-03-17,,mañana,1
53,NULL,5,4,2021-12-18,,siesta,1
54,NULL,6,4,2022-06-16,,siesta,1
55,NULL,7,4,2020-05-30,,siesta,1
56,NULL,8,4,2023-03-07,,siesta,1
57,NULL,9,4,2023-03-18,,tarde,1
58,NULL,10,4,2023-03-25,,tarde,1
59,NULL,11,4,2022-07-30,,tarde,1
60,NULL,12,4,2020-08-08,,tarde,1
61,NULL,13,4,2020-03-06,,noche,1
62,NULL,14,4,2021-10-17,,noche,1
63,NULL,15,4,2023-03-01,,noche,1
64,NULL,16,4,2022-06-08,,noche,1
