idnota,fk_idalumno_nota,fk_idmateriacurso_nota,nota1_nota,nota2_nota,nota3_nota,notadic_nota,notafeb_nota,notadef_nota,obs_nota,createdAt,updatedAt,ciclo_lectivo_nota
1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2023-06-13,,2023
2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,2023-01-21,,2023
3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,2023-09-18,,2023
4,4,1,NULL,NULL,NULL,NULL,NULL,NULL,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,2023-08-08,,2023
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2023-05-13,,2023
6,6,1,NULL,NULL,NULL,NULL,NULL,NULL,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,2023-08-06,,2023
7,7,1,NULL,NULL,NULL,NULL,NULL,NULL,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,2023-05-09,,2023
8,8,1,NULL,NULL,NULL,NULL,NULL,NULL,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,2023-05-07,,2023
9,9,1,NULL,NULL,NULL,NULL,NULL,NULL,pede posuere nonummy integer non velit donec diam neque vestibulum,2023-04-03,,2023
10,10,1,NULL,NULL,NULL,NULL,NULL,NULL,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,2023-02-03,,2023
11,11,1,NULL,NULL,NULL,NULL,NULL,NULL,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,2023-02-03,,2023
12,12,1,NULL,NULL,NULL,NULL,NULL,NULL,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,2023-12-26,,2023
13,13,1,NULL,NULL,NULL,NULL,NULL,NULL,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,2023-10-06,,2023
14,14,1,NULL,NULL,NULL,NULL,NULL,NULL,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2023-05-03,,2023
15,15,1,NULL,NULL,NULL,NULL,NULL,NULL,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,2023-12-10,,2023
16,16,1,NULL,NULL,NULL,NULL,NULL,NULL,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2023-01-29,,2023
17,17,1,NULL,NULL,NULL,NULL,NULL,NULL,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,2023-04-15,,2023
18,18,1,NULL,NULL,NULL,NULL,NULL,NULL,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,2023-11-07,,2023
19,19,1,NULL,NULL,NULL,NULL,NULL,NULL,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2023-03-04,,2023
20,20,1,NULL,NULL,NULL,NULL,NULL,NULL,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,2023-01-12,,2023
21,21,1,NULL,NULL,NULL,NULL,NULL,NULL,eu orci mauris lacinia sapien quis libero nullam sit amet turpis,2023-01-18,,2023
22,22,1,NULL,NULL,NULL,NULL,NULL,NULL,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2023-02-21,,2023
23,23,1,NULL,NULL,NULL,NULL,NULL,NULL,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,2023-10-17,,2023
24,24,1,NULL,NULL,NULL,NULL,NULL,NULL,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2023-12-28,,2023
25,25,1,NULL,NULL,NULL,NULL,NULL,NULL,sit amet erat nulla tempus vivamus in felis eu sapien cursus,2023-09-20,,2023
26,26,1,NULL,NULL,NULL,NULL,NULL,NULL,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,2023-09-09,,2023
27,27,1,NULL,NULL,NULL,NULL,NULL,NULL,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,2023-02-14,,2023
28,28,1,NULL,NULL,NULL,NULL,NULL,NULL,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,2023-09-21,,2023
29,29,1,NULL,NULL,NULL,NULL,NULL,NULL,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,2023-10-25,,2023
30,30,1,NULL,NULL,NULL,NULL,NULL,NULL,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,2023-10-18,,2023
31,31,2,NULL,NULL,NULL,NULL,NULL,NULL,ligula in lacus curabitur at ipsum ac tellus semper interdum,2023-03-03,,2023
32,32,2,NULL,NULL,NULL,NULL,NULL,NULL,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,2023-06-20,,2023
33,33,2,NULL,NULL,NULL,NULL,NULL,NULL,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,2023-09-07,,2023
34,34,2,NULL,NULL,NULL,NULL,NULL,NULL,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2023-06-23,,2023
35,35,2,NULL,NULL,NULL,NULL,NULL,NULL,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,2023-01-18,,2023
36,36,2,NULL,NULL,NULL,NULL,NULL,NULL,quisque ut erat curabitur gravida nisi at nibh in hac,2023-02-14,,2023
37,37,2,NULL,NULL,NULL,NULL,NULL,NULL,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,2023-11-28,,2023
38,38,2,NULL,NULL,NULL,NULL,NULL,NULL,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,2023-08-25,,2023
39,39,2,NULL,NULL,NULL,NULL,NULL,NULL,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,2023-11-01,,2023
40,40,2,NULL,NULL,NULL,NULL,NULL,NULL,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,2023-01-08,,2023
41,41,2,NULL,NULL,NULL,NULL,NULL,NULL,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,2023-01-19,,2023
42,42,2,NULL,NULL,NULL,NULL,NULL,NULL,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2023-04-14,,2023
43,43,2,NULL,NULL,NULL,NULL,NULL,NULL,eleifend quam a odio in hac habitasse platea dictumst maecenas ut,2023-10-31,,2023
44,44,2,NULL,NULL,NULL,NULL,NULL,NULL,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,2023-12-24,,2023
45,45,2,NULL,NULL,NULL,NULL,NULL,NULL,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,2023-02-25,,2023
46,46,2,NULL,NULL,NULL,NULL,NULL,NULL,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2023-11-22,,2023
47,47,2,NULL,NULL,NULL,NULL,NULL,NULL,nibh in lectus pellentesque at nulla suspendisse potenti cras in,2023-09-03,,2023
48,48,2,NULL,NULL,NULL,NULL,NULL,NULL,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,2023-05-14,,2023
