idnota,fk_idalumno_nota,fk_idmateriacurso_nota,nota1_nota,nota2_nota,nota3_nota,notadic_nota,notafeb_nota,notadef_nota,obs_nota,createdAt,updatedAt,ciclo_lectivo_nota
1,,,,,,,,,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,2023-12-27,,2023
2,,,,,,,,,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,2023-07-14,,2023
3,,,,,,,,,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,2023-01-11,,2023
4,,,,,,,,,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,2023-02-20,,2023
5,,,,,,,,,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,2023-08-27,,2023
6,,,,,,,,,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,2023-06-18,,2023
7,,,,,,,,,sed accumsan felis ut at dolor quis odio consequat varius integer,2023-04-06,,2023
8,,,,,,,,,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,2023-01-22,,2023
9,,,,,,,,,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,2023-01-04,,2023
10,,,,,,,,,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2023-03-14,,2023
11,,,,,,,,,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,2023-03-15,,2023
12,,,,,,,,,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,2023-02-08,,2023
13,,,,,,,,,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,2023-01-29,,2023
14,,,,,,,,,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,2023-09-09,,2023
15,,,,,,,,,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,2023-06-13,,2023
16,,,,,,,,,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,2023-11-26,,2023
17,,,,,,,,,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2023-09-06,,2023
18,,,,,,,,,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,2023-02-03,,2023
19,,,,,,,,,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,2023-03-21,,2023
20,,,,,,,,,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,2023-09-15,,2023
21,,,,,,,,,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,2023-03-03,,2023
22,,,,,,,,,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,2023-12-12,,2023
23,,,,,,,,,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,2023-04-30,,2023
24,,,,,,,,,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,2023-01-01,,2023
25,,,,,,,,,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,2023-04-26,,2023
26,,,,,,,,,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,2023-02-08,,2023
27,,,,,,,,,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,2023-05-14,,2023
28,,,,,,,,,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,2023-09-14,,2023
29,,,,,,,,,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2023-04-08,,2023
30,,,,,,,,,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,2023-03-28,,2023
31,,,,,,,,,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,2023-03-01,,2023
32,,,,,,,,,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,2023-12-28,,2023
33,,,,,,,,,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2023-06-12,,2023
34,,,,,,,,,a odio in hac habitasse platea dictumst maecenas ut massa quis,2023-06-12,,2023
35,,,,,,,,,sapien ut nunc vestibulum ante ipsum primis in faucibus orci,2023-03-28,,2023
